Sr. No.,Name,Contact Number,Personal Email Address,Gender,Date of Birth,Address,Salary,Blood Group,Country,Saudi Arabia National ID Number,Bank Account Number,Passport Number
1,Abdul Rahman AlGhazi,+966 515151018,AbdulRahmanAlGhazi@gmail.com,Male,1/15/1981,"121, Moon Street,11564,Riyadh,Saudi Arabia","SAR 13,552.20",O+,Saudi Arabia,9337933857,SA3588786147453968379753,AA8369854
2,Akram AlRiyadh,+966 539267160,AkramAlRiyadh@gmail.com,Male,10/19/1990,"Al Msaneea Dist. P.O.Box 5703 Postal Code 11432,Riyadh,Saudi Arabia","SAR 16,470.60",A+,Saudi Arabia,9920200793,SA9541998123861653336945,AB8369855
3,Faisal AlJarrah,+966 554226715,FaisalAlJarrah@gmail.com,Male,3/30/1988,"Bab Makkah Dist.4265,Jeddah,Saudi Arabia","SAR 16,874.70",AB-,Saudi Arabia,9781828867,SA7243216352686968956274,AC8369856
4,Fawaz AlSalem,+966 549997910,FawazAlSalem@gmail.com,Male,11/12/1988,"Manfouha Dist.40654,Riyadh,Saudi Arabia","SAR 17,497.80",B+,Saudi Arabia,9071754224,SA4731471919516277655187,BA8369857
5,Khalid AlFarhan,+966 560883985,KhalidAlFarhan@gmail.com,Male,8/25/1987,"Nazlah,Jeddah,Saudi Arabia","SAR 15,953.20",O-,Saudi Arabia,5864003499,SA7043945764148748237855,BB8369858
6,Khalil AlAhmadi,+966 589214730,KhalilAlAhmadi@gmail.com,Male,1/25/1989,"P.O. Box: 5700,Jeddah,Saudi Arabia","SAR 17,426.90",A-,Saudi Arabia,7831648604,SA8833737443694719814858,BC8369859
7,Majid AlSalem,+966 596163065,MajidAlSalem@gmail.com,Male,11/4/1980,"P.O.Box No : 18118 Jeddah 21415,Jeddah,Saudi Arabia","SAR 13,746.10",O+,Saudi Arabia,3772288018,SA9095344931377993488488,CA8369860
8,Riyad AlQahtani,+966 504787810,RiyadAlQahtani@gmail.com,Male,8/25/1988,"Al Khobar 31952 P.O.Box 2154,Al Khobar,Saudi Arabia","SAR 15,854.50",AB+,Saudi Arabia,3931143438,SA9223372036854775807701,CB8369861
9,Saleh AlJaber,+966 505671955,SalehAlJaber@gmail.com,Male,11/21/1987,"Rouwais,Jeddah,Saudi Arabia","SAR 13,161.80",B-,Saudi Arabia,8893026888,SA1234567890123456789011,CC8369862
10,Yahya AlHajj,+966 518001030,YahyaAlHajj@gmail.com,Male,11/2/1991,"Mushrifah Dist. Jeddah P.O.Box : 9879,Jeddah,Saudi Arabia","SAR 14,553.50",O+,Saudi Arabia,6342519425,SA1234567891123456789112,DA8369863
11,Nawaf AlQassim,+966 543412745,NawafAlQassim@gmail.com,Male,8/28/1983,"P.O. Box: 8280,Riyadh,Saudi Arabia","SAR 19,780.70",AB+,Saudi Arabia,6234960738,SA1234567892123456789213,DB8369864
12,Nasser AlOmar,+966 554928940,NasserAlOmar@gmail.com,Male,5/17/1989,"Sharafiyah Dist.6,Jeddah,Saudi Arabia","SAR 18,711.60",B+,Saudi Arabia,7927093011,SA1234567893123456789314,DC8369865
13,Saad AlNasser,+966 531507265,SaadAlNasser@gmail.com,Male,2/24/1992,"Bareed,Dammam,Saudi Arabia","SAR 16,646.50",B+,Saudi Arabia,9405664318,SA1234567894123456789415,EA8369866
14,Khaled AlNasser,+966 569789890,KhaledAlNasser@gmail.com,Male,9/1/1988,"2nd Industrial City35529,Riyadh,Saudi Arabia","SAR 16,789.70",O-,Saudi Arabia,1498166328,SA1234567895123456789516,EB8369867
15,Jaber AlHashim,+966 563574135,JaberAlHashim@yahoo.com,Male,6/13/1984,"Derah Dist.2922,Riyadh,Saudi Arabia","SAR 17,203.00",A-,Saudi Arabia,9203290105,SA1234567896123456789617,EC8369868
16,Faisal AlHarbi,+966 580283190,FaisalAlHarbi@yahoo.com,Male,10/27/1992,"P.O. Box: 9057,Jeddah,Saudi Arabia","SAR 17,222.50",O+,Saudi Arabia,4838507400,SA1234567897123456789718,FA8369869
17,Faisal AlAbdullah,+966 501035255,FaisalAlAbdullah@yahoo.com,Male,5/1/1987,"Rouwais,Jeddah,Saudi Arabia","SAR 18,575.50",AB-,Saudi Arabia,5007597617,SA1234567898123456789819,FB8369870
18,Fahad AlOmar,+966 530226940,FahadAlOmar@yahoo.com,Male,9/25/1980,"P.O. Box: 9057,Jeddah,Saudi Arabia","SAR 11,776.30",O+,Saudi Arabia,8783368048,SA1234567899123456789920,FC8369871
19,Abdulaziz AlHariri,+966 593132015,AbdulazizAlHariri@yahoo.com,Male,3/5/1983,"2nd Industrial City35529,Riyadh,Saudi Arabia","SAR 19,190.00",A+,Saudi Arabia,3643120517,SA1234567900123456790021,GA8369872
20,Adel AlDosari,+966 516655500,AdelAlDosari@yahoo.com,Male,2/28/1982,"Sulaimaniyah Dist.10598,Riyadh,Saudi Arabia","SAR 17,882.00",A+,Saudi Arabia,7326776828,SA1234567901123456790122,GB8369873
21,Abdulaziz AlTalib,+966 530231550,AbdulazizAlTalib@yahoo.com,Male,10/6/1980,"P.O. Box: 31865,Jeddah,Saudi Arabia","SAR 19,432.70",B+,Saudi Arabia,9212258425,SA1234567902123456790223,GC8369874
22,Salem AlSaud,+966 556070201,SalemAlSaud@yahoo.com,Male,3/18/1981,"P.O. Box: 1399,Riyadh,Saudi Arabia","SAR 16,967.30",AB+,Saudi Arabia,5302803050,SA1234567903123456790324,HA8369875
23,Tariq AlYami,+966 546756225,TariqAlYami@yahoo.com,Male,2/4/1986,"Ulaya,Riyadh,Saudi Arabia","SAR 15,859.40",A-,Saudi Arabia,5292646228,SA1234567904123456790425,HB8369876
24,Yousef AlMalik,+966 594428802,YousefAlMalik@yahoo.com,Male,11/3/1982,"P.O. Box: 31866,Jeddah,Saudi Arabia","SAR 19,237.10",O+,Saudi Arabia,7692179205,SA1234567905123456790526,HC8369877
25,Bandar AlThani,+966 583662652,BandarAlThani@yahoo.com,Male,9/19/1981,"P.O. Box: 22801,Jeddah,Saudi Arabia","SAR 19,175.70",AB+,Saudi Arabia,5429609734,SA1234567906123456790627,IA8369878
26,Bandar AlOmar,+966 590346103,BandarAlOmar@yahoo.com,Male,3/28/1987,"P.O. Box: 11652,Dammam,Saudi Arabia","SAR 14,759.10",B+,Saudi Arabia,6072287745,SA1234567907123456790728,IB8369879
27,Yousif AlSaud,+966 568503853,YousifAlSaud@yahoo.com,Male,4/11/1986,"P.O. Box: 924,Jeddah,Saudi Arabia","SAR 16,829.40",O-,Saudi Arabia,8229119718,SA1234567908123456790829,IC8369880
28,Yusuf AlAjaji,+966 549439104,YusufAlAjaji@yahoo.com,Male,4/25/1988,"P.O. Box: 6126,Jeddah,Saudi Arabia","SAR 15,908.40",O+,Saudi Arabia,9472456128,SA1234567909123456790930,JA8369881
